year,id,regional_unit,pre_county_id,post_county_id,reform_type,population,pre_name,post_name
1969,05/1969/0121,Gemeinde,05332,05337,1,1097,Buschhoven,Swisttal
1969,05/1969/0121,Gemeinde,05332,05337,1,155,Essig,Swisttal
1969,05/1969/0121,Gemeinde,05332,05337,1,2219,Heimerzheim,Swisttal
1969,05/1969/0121,Gemeinde,05332,05337,1,389,Ludendorf,Swisttal
1969,05/1969/0121,Gemeinde,05332,05337,1,542,Miel,Swisttal
1969,05/1969/0121,Gemeinde,05332,05337,1,776,Morenhoven,Swisttal
1969,05/1969/0121,Gemeinde,05332,05337,1,1515,Odendorf,Swisttal
1969,05/1969/0121,Gemeinde,05332,05337,1,559,Ollheim,Swisttal
1969,05/1969/0121,Gemeinde,05333,05337,1,325,Straßfeld,Swisttal
1969,05/1969/0121,Gemeinde,05332,05337,1,1173,Flerzheim,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,260,Hilberath,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,1202,Neukirchen,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,330,Niederdrees,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,953,Oberdrees,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,458,Queckenberg,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,356,Ramershoven,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,131,Todenfeld,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,1419,Wormersdorf,"Rheinbach, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,549,Altendorf,"Meckenheim, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,447,Ersdorf,"Meckenheim, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,715,Lüftelberg,"Meckenheim, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,323,Merl,"Meckenheim, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,818,Berkum,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,365,Gimmersdorf,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,187,Holzem,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,419,Ließem,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,1233,Niederbachem,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,497,Oberbachem,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,1099,Pech,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,1390,Villip,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,354,Werthhoven,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,155,Züllighoven,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,1057,Adendorf,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,229,Arzdorf,Wachtberg
1969,05/1969/0121,Gemeinde,05332,05337,1,681,Fritzdorf,Wachtberg
1969,06/1969/0001,Gemeinde,06143,06114,2,2,"Dörnigheim, Stadt","Hanau, Stadt"
1969,06/1969/0006,Gemeinde,06143,06114,2,7,Mittelbuchen,"Hanau, Stadt"
1969,07/1969/0015,Gemeinde,07135,07111,1,636,Kapellen-Stolzenfels,"Koblenz, Stadt"
1969,07/1969/0015,Gemeinde,07135,07111,1,1576,Kesselheim,"Koblenz, Stadt"
1969,07/1969/0015,Gemeinde,07136,07133,1,215,Dhaun,Hochstetten-Dhaun
1969,07/1969/0015,Gemeinde,07136,07133,1,339,Hochstädten,Hochstetten-Dhaun
1969,07/1969/0015,Gemeinde,07136,07133,1,784,Hochstetten b. Kirn,Hochstetten-Dhaun
1969,07/1969/0015,Gemeinde,07136,07133,1,151,Heimberg,Heimweiler
1969,07/1969/0015,Gemeinde,07136,07133,1,248,Krebsweiler,Heimweiler
1969,07/1969/0015,Gemeinde,07136,07133,1,1304,Heddesheim (Nahe),Guldental
1969,07/1969/0015,Gemeinde,07136,07133,1,849,Waldhilbersheim,Guldental
1969,07/1969/0015,Gemeinde,07432,07133,1,954,Bosenheim,"Bad Kreuznach, Stadt"
1969,07/1969/0015,Gemeinde,07432,07133,1,265,Ippesheim,"Bad Kreuznach, Stadt"
1969,07/1969/0015,Gemeinde,07432,07133,1,1751,Planig,"Bad Kreuznach, Stadt"
1969,07/1969/0015,Gemeinde,07136,07133,1,1196,Winzenheim,"Bad Kreuznach, Stadt"
1969,07/1969/0015,Gemeinde,07136,07339,1,3573,Bingerbrück,"Bingen, Stadt"
1969,07/1969/0015,Gemeinde,07536,07133,1,539,Becherbach/Pfalz,Becherbach
1969,07/1969/0015,Gemeinde,07536,07133,1,280,Gangloff,Becherbach
1969,07/1969/0015,Gemeinde,07536,07133,1,247,Roth,Becherbach
1969,07/1969/0015,Gemeinde,07541,07133,1,1430,Ebernburg,Bad Münster-Ebernburg
1969,07/1969/0015,Gemeinde,07136,07133,1,2186,Bad Münster am Stein,Bad Münster-Ebernburg
